fid,production
808,8803.60092452185
809,9866.05196740629
810,7561.39504501836
811,11026.2441653483
812,731.018811883055
813,8632.02636477244
814,17818.9825212448
815,14588.687490168
816,11881.7864119569
817,17875.9292201328
818,17416.4492207649
819,11704.2473945142
820,8229.3036942023
821,12220.9769083844
822,11142.4288788924
823,732.764406404778
824,11316.3788431511
825,9042.27982675029
826,8501.30316365298
827,11018.5793999102
828,10224.6353831274
829,9960.31361040398
830,5679.30012143389
831,15311.5289026901
832,11516.5047172911
833,7317.47907582201
834,9143.39571048913
835,9108.61400987805
836,9552.06397179212
837,11922.1052548624
838,11477.8191116865
839,9888.9202748983
840,6970.53818999575
841,17641.4195013288
842,7799.40155160686
843,8914.22329488878
844,8384.10376676453
845,8706.16407549523
846,9534.11763040749
847,8961.35258014019
848,11829.9819818094
849,9711.21240526482
850,9273.55792147358
851,11493.4970777902
852,7627.91145601741
853,11387.8507095328
854,12706.8849934829
855,8873.99680073215
856,9964.07127137
857,9120.71695488934
858,9042.98787575274
859,10292.465526601
860,7241.42530779402
861,6717.54109077571
862,10343.551678879
863,2109.60332795366
864,18016.592760414
865,8285.00198315399
866,8551.43367131247
867,11225.1876286964
868,11472.7687885317
869,2076.57196060637
870,12031.068819686
871,11930.7053675885
872,12648.5018174965
873,8108.38144501029
874,9026.55298691671
875,8916.28878950725
876,18054.7016419808
877,731.889794812021
878,12590.3174792226
879,9154.2610403069
880,731.018811882835
881,10646.0523209801
882,9857.56006260719
883,9442.21922199027
884,11163.2526206832
885,18025.8506128994
886,9066.8926952802
887,18016.5927604145
888,10964.0461370442
889,10278.0762607622
890,9888.1751898718
891,10321.867084161
892,8435.50951441616
893,10047.9084196216
894,11468.2496194345
895,9826.19985032191
896,12069.3698616965
897,12038.0896433261
898,8604.44799112824
899,8402.86015103276
900,12147.6506708977
901,17979.237894255
902,11999.7346106074
903,731.889794811801
904,8187.30730256077
905,8350.75596714476
906,11201.3296316071
907,11997.7099750685
908,9539.3649493632
909,8173.92263451716
910,8556.64697952124
911,8606.15700552699
912,9851.14939790609
913,11957.0494574464
914,9195.1003365261
915,8788.97472709845
916,12273.5796299878
917,9123.03227637595
918,11466.9713636683
919,17363.5015627831
920,8723.50324634877
921,8344.48331278865
922,9658.95712596174
923,9799.08201208206
924,8524.30931684824
925,9215.92729085283
926,7947.39282130611
927,8232.80238252867
928,8627.75996314491
929,9042.98787575002
930,8866.20863260351
931,7757.11042953885
932,8099.75245114595
933,11791.9207888169
934,10177.5588508453
935,11885.2090416833
936,8581.51300067204
937,10906.2615020994
938,17960.3719573255
939,17941.506020401
940,18110.6055472107
941,9969.74688002841
942,7275.07612621536
943,10188.3630534443
944,8809.68098876314
945,12021.7422935729
946,9051.74541157497
947,14259.9757414337
948,9853.19036952182
949,9281.5390295206
950,8722.14172904687
951,8266.21513058199
952,8886.57992187886
953,9637.34872075535
954,11380.2646097518
955,7237.71146843746
956,18821.5998762122
957,11622.6763909977
958,7359.33927918727
959,11726.7440340966
960,7630.16879923759
961,8559.20578592466
962,4797.9468852806
963,8984.32579607698
964,8552.53550663913
965,14881.5297374602
966,8984.73325774396
967,9768.64618423752
968,9340.06074926009
969,18545.1020815984
970,9323.75896123631
971,12141.5383685735
972,10101.9294326334
973,9528.32180218722
974,10899.4312444002
975,9722.11817782492
976,17512.3237738145
977,9190.83842617075
978,16993.170076671
979,7712.63600453701
980,18684.3603421484
981,11483.102766219
982,8804.78766019179
983,17366.2329369598
984,9868.53993714852
985,9588.12240888271
986,8766.11373197699
987,11232.2871762988
988,8645.47164650433
989,8433.01339765707
990,12482.5741466147
991,12011.4957208401
992,18922.9379100574
993,8599.42761381137
994,9065.63191187573
995,9533.6521946793
996,7888.75356063239
997,1892.99651020506
998,11550.022380188
999,10434.211432244
1000,8012.59262089609
1001,15260.3750995594
1002,2034.73222863172
1003,9816.88032342197
1004,8644.31851778663
1005,8333.34347884567
1006,11859.5164570269
1007,2096.39078101444
1008,9359.08523330497
1009,17896.0930506869
1010,10152.7767903562
1011,11323.0768657693
1012,18822.7630113438
1013,18979.5986159915
1014,8482.2830434415
1015,10101.815521204
1016,18565.7294828275
1017,8254.25614183497
1018,7190.23093604956
1019,8768.60964421122
1020,16578.5872505045
1021,9941.64964999679
1022,18979.5986159968
1023,9043.83086309545
1024,7508.16648437853
1025,9511.74047594001
1026,9038.84038448084
1027,9167.81313669698
1028,8365.01231050802
1029,8481.97625436636
1030,8270.40768566583
1031,19330.9491688212
1032,3987.40758935006
1033,8467.2739512526
1034,10036.8957842427
1035,9857.52306298751
1036,10049.1269435103
1037,9474.51091943298
1038,2084.94370879166
1039,4731.15046046191
1040,11373.5563362533
1041,18564.8519240708
1042,11833.0593823592
1043,14832.0774466457
1044,19043.192848942
1045,18944.1127612784
1046,19073.5837061909
1047,9675.42778038767
1048,7587.89692205141
1049,16631.154294125
1050,10250.8259976675
1051,19021.9072505916
1052,2048.08130897087
1053,12239.2079173522
1054,9646.75292063248
1055,9686.12330200227
1056,9043.83086309295
1057,18626.0298884509
1058,14080.5589991751
1059,8361.18317597482
1060,17121.9714064483
1061,17002.9612843158
1062,731.018811883055
1063,7552.29982683255
1064,10106.7944189773
1065,11692.0681568508
1066,11524.7764296302
1067,8765.85614199539
1068,17063.3592574224
1069,17429.2674727789
1070,9822.10672319541
1071,9672.31424593814
1072,19021.9072505859
1073,17336.6891700523
1074,8891.25347165074
1075,11714.1210588177
1076,8372.48116469747
1077,9602.26186111724
1078,8547.66185139663
1079,8813.86192590577
1080,8228.19136220427
1081,8346.59099823566
1082,8694.16747632506
1083,9719.78925257489
1084,8306.50150006612
1085,17546.0683908296
1086,17454.7777124226
1087,11688.8751082599
1088,12069.3698616923
1089,11843.0881912162
1090,19070.8122937676
1091,18768.6477728476
1092,9411.18290403538
1093,8360.8599542314
1094,18071.4342356809
1095,8433.05776360778
1096,20396.6905016364
1097,17182.463276246
1098,10395.3853202926
1099,7240.13279889478
1100,11431.1243357116
1101,11169.4336641305
1102,7461.1228347246
1103,8894.40825194518
1104,10873.6399347731
1105,9549.90472469934
1106,9640.21585795105
